tahun,bulan,tanggal,arus,salinitas,suhu,modal,total_produksi
2011,8,10,,33,30,182520,1950
2011,8,11,,33,29,89107,952
2011,8,14,,33,30,145735,1557
2011,8,14,,33,30,114660,1225
2011,8,14,,33,30,915408,978
2011,8,17,,33,30,109980,1175
2011,8,17,,33,30,83210,889
2011,8,17,,33,30,210600,2250
2011,8,17,,33,30,11700,125
2011,8,18,,33,29,89575,957
2011,10,2,,33,31,60054,802
2011,10,2,,33,31,67841,906
2011,10,4,,33,31,823680,11000
2011,10,4,,33,31,99590,1330
2011,10,8,,33,28,66643,890
2011,10,8,,33,28,13853,185
2011,10,9,,33,30,71660,957
2011,10,10,,33,30,57059,762
2012,1,30,0.65,33,28,591365,7020
2012,1,31,0.65,33,28,130572,1550
2012,1,31,0.65,33,28,76237,905
2012,2,4,0.22,33,28,101088,1200
2012,2,5,0.22,33,29,42120,500
2012,2,5,0.22,33,29,42288,502
2012,7,5,0.36,33,29,150696,2300
2012,7,5,0.36,33,29,8190,125
2012,7,5,0.36,33,29,134775,2057
2012,7,7,0.36,33,29,62244,950
2012,7,7,0.36,33,29,85176,1300
2012,7,8,0.36,33,30,121212,1850
2012,7,9,0.17,33,30,85176,1300
2012,7,10,0.17,33,30,52416,800
2012,7,10,0.17,33,30,81900,1250
2012,7,10,0.17,33,30,62637,956
2012,8,5,0.28,33,30,63948,976
2012,8,10,0.28,33,31,49140,750
2012,8,10,0.28,33,31,45864,700
2012,8,11,0.28,33,31,39312,600
2012,8,12,0.28,33,31,55823,852
2012,8,15,0.28,33,31,76658,1170
2012,8,16,0.28,33,31,88452,1350
2012,8,17,0.28,33,31,55692,850
2012,8,20,0.32,33,32,75348,1150
2012,8,22,0.32,33,32,42588,650
2012,8,26,0.32,33,31,56010,748
2012,8,26,0.32,33,31,78399,1047
2012,8,26,0.32,33,31,34969,467
2012,8,26,0.32,33,31,83791,1119
2012,8,26,0.32,33,31,12505,167
2012,8,26,0.32,33,31,77725,1038
2012,8,26,0.32,33,31,89856,1200
2012,8,26,0.32,33,31,82368,1100
2012,8,26,0.32,33,31,92102,1230
2012,8,28,0.10,33,30,91129,1267
2012,8,28,0.10,33,30,125798,1680
2012,8,28,0.10,33,30,45228,604
2012,8,28,0.10,33,30,25834,345
2012,8,28,0.10,33,30,81825,1094
2012,8,28,0.10,33,30,15126,202
2012,8,31,0.10,33,31,95622,1277
2012,8,31,0.10,33,31,31515,481
2012,8,31,0.10,33,31,47764,729
2012,8,31,0.10,33,31,9435,144
2012,8,31,0.10,33,31,12692,193
2012,8,31,0.10,33,31,49599,757
2012,8,31,0.10,33,31,32760,823
2012,9,2,0.10,33,31,28136,501
2012,9,2,0.10,33,31,10221,182
2012,9,2,0.10,33,31,97625,1490
2012,9,2,0.10,33,31,2583,46
2012,9,3,0.21,33,31,97718,1740
2012,9,3,0.21,33,31,21491,328
2012,9,5,0.21,33,33,11859,181
2012,9,5,0.21,33,33,46922,716
2012,9,5,0.21,33,33,22866,349
2012,9,5,0.21,33,33,36953,658
2012,9,5,0.21,33,33,71211,1206
2012,9,6,0.21,33,32,12720,194
2012,9,6,0.21,33,32,41016,626
2012,9,6,0.21,33,32,37178,662
2012,9,6,0.21,33,32,29550,481
2012,9,6,0.21,33,32,28192,502
2012,9,8,0.21,33,32,62047,947
2012,9,8,0.21,33,32,89238,1362
2012,9,8,0.21,33,32,60868,929
2012,9,9,0.21,33,31,15070,230
2012,9,9,0.21,33,31,63096,963
2012,9,9,0.21,33,31,69779,1065
2012,9,10,0.16,33,31,19722,301
2012,9,10,0.16,33,31,134971,206
2012,9,10,0.16,33,31,19525,298
2012,9,12,0.16,33,32,109353,1669
2012,9,12,0.16,33,32,32891,502
2012,9,13,0.16,33,32,87011,1320
2012,9,13,0.16,33,32,85307,1302
2012,9,13,0.16,33,32,19197,293
2012,9,14,0.16,33,33,133268,203
2012,9,15,0.16,33,33,53726,820
2012,9,16,0.16,33,32,74300,1134
2012,9,16,0.16,33,32,80000,1221
2012,9,17,0.54,33,32,78427,1197
2012,9,17,0.54,33,32,49739,759
2012,9,21,0.54,33,32,65389,998
2012,9,24,0.54,33,32,128419,1960
2012,9,27,0.54,33,32,173890,2654
2012,9,28,0.54,33,32,193743,303
2012,9,30,0.54,33,32,109746,1189
2012,10,4,0.54,33,32,109746,1675
2012,10,7,0.54,33,31,19459,297
2012,10,7,0.54,33,31,40950,625
2012,10,24,0.23,33,33,68796,1050
2012,10,29,0.23,33,31,39967,610
2012,11,5,0.18,33,30,44628,596
2012,11,11,0.18,33,32,31300,418
2012,12,1,0.29,33,31,22464,300
2013,1,2,0.57,33,28,23962,320
2013,1,5,0.57,33,28,26208,350
2013,1,10,0.57,33,29,37440,500
2013,1,12,0.57,33,29,59221,703
2013,1,13,0.57,33,29,63180,750
2013,1,16,0.27,33,27,43805,520
2013,1,17,0.27,33,28,44900,533
2013,1,18,0.27,33,27,15500,184
2013,1,18,0.27,33,27,38919,462
2013,1,18,0.27,33,27,17438,900
2013,1,19,0.27,33,28,27799,330
2013,1,21,0.49,33,28,64865,770
2013,1,22,0.49,33,28,51134,607
2013,1,23,0.49,33,28,97971,1163
2013,1,24,0.49,33,28,26957,320
2013,1,28,0.49,33,28,55683,661
2013,1,29,0.49,33,27,102773,1220
2013,5,15,0.44,33,30,46051,328
2013,5,19,0.44,33,29,66690,475
2013,5,20,0.32,33,30,90006,601
2013,5,21,0.32,33,29,64097,428
2013,6,4,0.05,33,29,75180,502
2013,6,5,0.05,33,29,95949,603
2013,7,8,0.01,33,30,280800,2500
2013,7,10,0.01,33,29,482976,4300
2013,7,14,0.01,33,28,140400,1250
2013,7,14,0.01,33,28,84240,750
2013,7,14,0.01,33,28,56160,500
2013,7,15,0.07,33,29,80870,720
2013,7,15,0.07,33,29,64022,570
2013,7,15,0.07,33,29,47174,420
2013,7,15,0.07,33,29,93226,830
2013,7,15,0.07,33,29,47174,420
2013,7,16,0.07,33,28,64022,570
2013,7,16,0.07,33,28,52790,470
2013,7,16,0.07,33,28,80870,720
2013,10,5,0.17,33,31,35942,320
2013,10,5,0.17,33,31,22464,200
2013,10,5,0.17,33,31,44928,400
2013,10,7,0.17,33,30,70762,630
2013,10,7,0.17,33,30,33696,300
2013,10,9,0.17,33,30,47174,420
2013,10,9,0.17,33,30,41558,370
2013,10,9,0.17,33,30,52790,470
2013,10,11,0.17,33,31,87610,780
2013,10,11,0.17,33,31,47174,420
2013,10,12,0.17,33,32,34819,310
2013,10,13,0.17,33,30,44928,400
2013,10,13,0.17,33,30,44928,400
2013,10,13,0.17,33,30,24710,220
2013,10,15,0.37,33,31,33696,300
2013,10,15,0.37,33,31,64022,570
2013,10,17,0.37,33,31,50544,270
2013,10,17,0.37,33,31,50544,450
2013,10,17,0.37,33,31,87610,780
2013,10,17,0.37,33,31,28080,250
2013,10,18,0.37,33,29,28080,250
2013,12,13,0.27,33,29,35718,318
2013,12,16,0.27,33,29,80983,721
2013,12,16,0.27,33,29,39312,350
